index,author,username,date,english_text,zh_cn_translation,visible_stats
1,🐱🔞 Zodin Virzin,@VirzinZodin,May 8,The haters are not fans of NTE. They want to dogpiling you because they want to feel good for themselves. Replace the activist EN VAs with professional VAs. Don't bent the knee to the haters. I know you can overcome this. I will continue to support and enjoy your game.,讨厌 NTE 的人并不是 NTE 的粉丝。他们想追随你，因为他们想让自己感觉良好。用专业的 VA 取代激进的 EN VA。不要向仇恨者屈膝。我知道你可以克服这个。我将继续支持并享受你们的游戏。,1 | 6 | 893
2,蕭喜にこにこ,@Humankossi,May 8,"It's just that someone is deliberately making a big deal out of it. As long as the game itself is fun, that's all that matters, isn't it?",只不过是有人故意小题大做罢了。只要游戏本身有趣就够了，不是吗？?,408
3,Dorupon5454,@Dorupon5454,May 8,"nitter.net/Dorupon5454/status/202… meanwhile I made this for FREE for ToF, that means for Hotta and NTE too XD as a player who love the game ^_^ also, why don't NTE put ToF beautiful pictures / photos / players screenshot with consent through X event, as assets on the billboards etc rather than AI ?",nitter.net/Dorupon5454/status/202…同时我为ToF免费制作了这个，这对Hotta和NTE也意味着XD作为一个热爱游戏的玩家^_^ 另外，为什么NTE不通过X事件将ToF漂亮的图片/照片/玩家截图放在广告牌等上作为资产而不是AI？?,496
4,24DarkHorse,@24Dark_Horse,May 8,"Please don't listen to twitter commenters as genuine feedback. They are not gamers or, at the very least, have no interest in your games succes...heck if half as many complainers on the internet actually played your game you'd be trillionairs. GENUINE GAMERS only care if the end product is great, regardless of if AI was used to get ther or not. DO NOT BEND THE KNEE TO VIRTU SIGNALERS WHO HAVE NO STEAK IN YOUR GAMES SUCCESS. You will be reuined if you do. Please ignore any haters/drama/criticism unless they post their UID. If they really cared, they would have one. UID:214284701264",请不要将 Twitter 评论者视为真实的反馈。他们不是游戏玩家，或者至少对你的游戏成功不感兴趣……如果互联网上有一半的抱怨者真正玩过你的游戏，那你就成为万亿富翁了。真正的游戏玩家只关心最终产品是否出色，无论是否使用人工智能来实现。不要屈服于那些对你的游戏成功没有影响的 Virtu 信号员。如果你这么做了，你就会受到惩罚。请忽略任何仇恨者/戏剧/批评，除非他们发布了他们的 UID。如果他们真的关心的话，他们就会拥有一个。用户 ID：214284701264,"1,571"
5,"Draven ""dave"" Kurogane",@Draven_Kurogane,May 8,"The people bitching about AI were never intending in investing into another gacha game. They are literally just finding an easy way to say i dom't like this game without being judged for by the die hard fans at this point. The well poisoning is ruining the water supply. Stop it. before you use the ""AI is using up all our water!"" We got oceans, we got rain. Mother nature exist for use. Think we'll be fine.",那些抱怨人工智能的人从来没有打算投资另一款扭蛋游戏。他们实际上只是在寻找一种简单的方式来表达我不喜欢这款游戏，而不会受到铁杆粉丝的评判。井中毒正在破坏供水。停止吧。在你使用“人工智能正在耗尽我们所有的水！”之前我们有海洋，我们有雨。大自然的存在是为了利用。认为我们会没事的。,"1,180"
6,T-Muffins,@T_Muffins,May 9,"You're running a business, not a charity. If AI-generated work is better, more efficient, and cheaper than ""human creativity,"" then it's better for both you and your consumers.",你经营的是一家企业，而不是一家慈善机构。如果人工智能生成的工作比“人类创造力”更好、更高效、更便宜，那么对您和您的消费者来说都更好。,2 | 503
7,Ashelor,@Jehuty99,May 8,"Nobody normal cares if AI was used if the game is good and it is not noticable. Ignore the virtue signalling performative idiots, AI in games is just the newest thing they can get outraged about to pretend like their moronic voice matters.",如果游戏很好而且不引人注目，那么没有人会关心是否使用了人工智能。忽略那些表现白痴的美德信号，游戏中的人工智能只是他们假装自己的白痴声音很重要而感到愤怒的最新事物。,"2 | 1,444"
8,LFGPAL,@lfgpal,May 8,Is that ai too? i hope we don't remove that 😂,这也是艾吗？我希望我们不要删除它😂,"1 | 1,935"
9,Your Average Guy,@Zayin_05,May 9,Only westards and foreigners are complaining about this shit,只有西方人和外国人才抱怨这个狗屎,1 | 1 | 24
10,Warlok G. Leãon,@WarlokGLeaon,May 8,"I understand that it’s for the sake of business. But please, you devs have done enough to design such a fun, beautiful game. You don’t need to bend your backs over for these self entitled fake gamers who only care about having their own standards met above all else.",我明白这是为了生意。但是拜托，你们的开发者已经做了足够多的努力来设计这样一个有趣、美丽的游戏。你不需要为这些自以为是的假玩家弯下腰，他们只关心自己的标准得到满足高于一切。,"1,832"
